trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.9976204443135014}",20,0,-28.854038013786184,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-102.29039616822874,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9974805586421406}",25,0,-209.43962294710155,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
73,False,"{'a': 0.5, 'e': 0.9974091195505261}",20,0,-63.97020573727811,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9973366830498752}",25,0,-145.01184165936476,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9972632492126244}",25,0,-138.80138644921888,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-65.32775941219336,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9971133898230555}",25,0,-102.51116632796855,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9970369644205967}",20,0,-43.514150467971675,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9969595419812568}",25,0,-182.69993410360019,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9968811225824579}",25,0,-175.15511576355829,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-236.22756142730677,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
82,False,"{'a': 0.5, 'e': 0.9967212932211577}",20,0,-99.91270912505816,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9966398834184859}",25,0,-186.39708710698466,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9965574769760137}",25,0,-157.16521436762795,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
85,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,0,-238.06621341508855,"{0: 7, 1: 2, 2: 5, 3: 3, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.9963896745022904}",25,0,-76.47335204067625,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.996304278638842}",20,0,-103.1552895275658,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9962178864711978}",25,0,-146.50676388990684,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9961304980857502}",20,0,-99.4453173768412,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.9960421135698875}",25,2,-72.09788925843208,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 2}",1
91,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-155.57440582285102,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
92,False,"{'a': 0.5, 'e': 0.9958623565014509}",25,0,-95.03752632110675,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9957709841286342}",20,5,-108.06830178324113,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.9956786159849162}",20,0,-25.191198805418054,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9955852521626654}",30,18,-12.454597146317168,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.9954908927552453}",20,0,-207.52787781135498,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
97,False,"{'a': 0.5, 'e': 0.9953955378570153}",25,0,-86.72876913591278,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
